retrieval_run_id,retrieval_method,question_count,ground_truth_range_count,corpus_chunk_count,mrr,mean_first_relevant_rank,median_first_relevant_rank,mean_chunks_to_full_coverage,median_chunks_to_full_coverage,recall_at_1,mean_evidence_range_recall_at_1,full_evidence_coverage_rate_at_1,recall_at_3,mean_evidence_range_recall_at_3,full_evidence_coverage_rate_at_3,recall_at_5,mean_evidence_range_recall_at_5,full_evidence_coverage_rate_at_5,recall_at_10,mean_evidence_range_recall_at_10,full_evidence_coverage_rate_at_10,selection_status
mit60001_hybrid_be1b8bf6a64e3b8e,dense_baseline_v1,35,57,861,0.573585434,3.8,2,5.771429,4,0.371428571,0.25952381,0.171428571,0.742857143,0.595238095,0.457142857,0.857142857,0.788095238,0.714285714,0.914285714,0.885714286,0.857142857,pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,bm25_v1,35,57,861,0.443842416,31.057143,2,71.114286,7,0.257142857,0.169047619,0.085714286,0.6,0.45,0.314285714,0.628571429,0.521428571,0.428571429,0.714285714,0.614285714,0.514285714,pending_human_decision
mit60001_hybrid_be1b8bf6a64e3b8e,hybrid_rrf_k60_d100_v1,35,57,861,0.517862148,5.085714,3,10.257143,4,0.342857143,0.221428571,0.114285714,0.571428571,0.428571429,0.285714286,0.828571429,0.7,0.571428571,0.914285714,0.845238095,0.742857143,pending_human_decision
