decision_date,reranking_run_id,retrieval_method,selection_status,decision_source,decision_reason,question_count,human_preferred_question_count,human_tie_question_count,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mean_evidence_range_recall_at_3,full_evidence_coverage_rate_at_3,review_workbook,review_workbook_sha256,comparison_artifact,comparison_sha256,question_comparison_artifact,question_comparison_sha256,manifest_artifact,manifest_sha256,cross_process_artifact,cross_process_sha256
2026-08-15,mit60001_rerank_46564f781c27d679,dense_baseline_v1,selected,human_user_2026-08-15,"Selected by user after 35/35 question review; 15 Dense preferences, 13 Cross-Encoder preferences and 7 ties; Dense has higher aggregate MRR and Recall@1/3/5",35,15,7,0.573585434,0.371428571,0.742857143,0.857142857,0.914285714,0.595238095,0.457142857,evaluation/review/reranking/cross_encoder_reranking_review_2026-08-15_reviewed.xlsx,93c6e19f5646388d46cfc7de9c826c536ccdbcf7e0611303803ba6edc3ba5b71,reports/11_reranking/cross_encoder_reranking_comparison.csv,6406e8ab364819d6afe474c4b49d61e20db6b5be864381da28cd2b93005d8383,reports/11_reranking/cross_encoder_reranking_question_comparison.csv,e10e418d6188a1802138a7ec976d783bded042ed81d2b8b8cc28a5e5034bfbb8,reports/11_reranking/cross_encoder_reranking_manifest.json,9df5070b6be33d790e982f0ced2289dad1970419b754f8155064d1add1f5c1f3,reports/11_reranking/cross_encoder_reranking_cross_process_validation.csv,4f1b4c2b71bd3d921aa36d651d10e84fcd1b50af7eb751ccc43db0c628d6a3a9
2026-08-15,mit60001_rerank_46564f781c27d679,cross_encoder_ms_marco_minilm_l6_v2,not_selected,human_user_2026-08-15,"Not selected globally; 13 Cross-Encoder preferences versus 15 Dense preferences and lower aggregate MRR and Recall@1/3/5; retained as an evaluated reranker",35,13,7,0.532611871,0.342857143,0.657142857,0.771428571,0.914285714,0.569047619,0.457142857,evaluation/review/reranking/cross_encoder_reranking_review_2026-08-15_reviewed.xlsx,93c6e19f5646388d46cfc7de9c826c536ccdbcf7e0611303803ba6edc3ba5b71,reports/11_reranking/cross_encoder_reranking_comparison.csv,6406e8ab364819d6afe474c4b49d61e20db6b5be864381da28cd2b93005d8383,reports/11_reranking/cross_encoder_reranking_question_comparison.csv,e10e418d6188a1802138a7ec976d783bded042ed81d2b8b8cc28a5e5034bfbb8,reports/11_reranking/cross_encoder_reranking_manifest.json,9df5070b6be33d790e982f0ced2289dad1970419b754f8155064d1add1f5c1f3,reports/11_reranking/cross_encoder_reranking_cross_process_validation.csv,4f1b4c2b71bd3d921aa36d651d10e84fcd1b50af7eb751ccc43db0c628d6a3a9
