retrieval_run_id,retrieval_method,question_count,ground_truth_range_count,corpus_chunk_count,mrr,mean_first_relevant_rank,median_first_relevant_rank,mean_chunks_to_full_coverage,median_chunks_to_full_coverage,recall_at_1,mean_evidence_range_recall_at_1,full_evidence_coverage_rate_at_1,recall_at_3,mean_evidence_range_recall_at_3,full_evidence_coverage_rate_at_3,recall_at_5,mean_evidence_range_recall_at_5,full_evidence_coverage_rate_at_5,recall_at_10,mean_evidence_range_recall_at_10,full_evidence_coverage_rate_at_10,selection_status
mit60001_rerank_46564f781c27d679,dense_baseline_v1,35,57,861,0.573585434,3.8,2,5.771429,4,0.371428571,0.25952381,0.171428571,0.742857143,0.595238095,0.457142857,0.857142857,0.788095238,0.714285714,0.914285714,0.885714286,0.857142857,pending_human_decision
mit60001_rerank_46564f781c27d679,cross_encoder_ms_marco_minilm_l6_v2,35,57,861,0.532611871,5.457143,2,8.971429,4,0.342857143,0.216666667,0.114285714,0.657142857,0.569047619,0.457142857,0.771428571,0.716666667,0.657142857,0.914285714,0.84047619,0.742857143,pending_human_decision
