retrieval_run_id,chunking_config_id,question_count,ground_truth_range_count,corpus_chunk_count,mrr,mean_first_relevant_rank,median_first_relevant_rank,mean_chunks_to_full_coverage,median_chunks_to_full_coverage,recall_at_1,mean_evidence_range_recall_at_1,full_evidence_coverage_rate_at_1,recall_at_3,mean_evidence_range_recall_at_3,full_evidence_coverage_rate_at_3,recall_at_5,mean_evidence_range_recall_at_5,full_evidence_coverage_rate_at_5,recall_at_10,mean_evidence_range_recall_at_10,full_evidence_coverage_rate_at_10,manual_citation_review_status
mit60001_dense_304f7bc8ee6b2b73,fixed_wp240_o48_v1,35,57,548,0.650306122,2.771429,2,7.171429,3,0.485714286,0.35952381,0.257142857,0.742857143,0.64047619,0.514285714,0.857142857,0.792857143,0.714285714,0.971428571,0.935714286,0.885714286,pending
mit60001_dense_304f7bc8ee6b2b73,semantic_cosine_wp240_v1,35,57,861,0.573585434,3.8,2,5.771429,4,0.371428571,0.25952381,0.171428571,0.742857143,0.595238095,0.457142857,0.857142857,0.788095238,0.714285714,0.914285714,0.885714286,0.857142857,pending
mit60001_dense_304f7bc8ee6b2b73,semantic_cosine_wp192_o32_v1,35,57,1056,0.593042672,3.428571,2,9.028571,3,0.428571429,0.338095238,0.257142857,0.742857143,0.630952381,0.514285714,0.914285714,0.75952381,0.6,0.971428571,0.869047619,0.742857143,pending
